"cz","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cz8503","Valdosta, GA",37985
"cz16701","Elkins, WV",37981
"cz3102","Brookhaven, MS",37975
"cz1204","Andrews, GA & NC",37727
"cz10400","Meridian, MS",37723
"cz25402","Murray, KY",37720
"cz9500","Talladega, AL",37697
"cz6402","Crossville, TN",37645
"cz32202","Nacogdoches, TX",37622
"cz19903","Chincoteague, VA",37568
"cz1202","Sylva, NC",37356
"cz25103","Harrison, AR",37301
"cz28501","Springfield, CO",37240
"cz29902","Center, MO",37108
"cz4003","Ruston, LA",37092
"cz16802","Summersville, WV",37068
"cz34309","Harlowton, MT",36987
"cz39204","Condon, OR",36976
"cz4902","Dyersburg, TN",36948
"cz37902","Reno, NV",36946
"cz3201","Jena, LA",36881
"cz12902","Mount Sterling, KY",36877
"cz32306","Eagle Pass, TX",36856
"cz6301","McMinnville, TN",36799
"cz9002","Milledgeville, GA",36757
"cz25104","Heber Springs, AR",36697
"cz5201","New Albany, MS",36680
"cz34805","Alamosa, CO",36675
"cz5300","West Memphis, AR",36657
"cz4001","Magnolia, AR",36607
"cz10102","Thomasville, GA",36570
"cz34202","Shelby, MT",36563
"cz21003","Ironwood, MI & WI",36557
"cz6302","Cookeville, TN",36543
"cz4301","Stuttgart, AR",36520
"cz4103","El Dorado, AR",36501
"cz31404","Alpine, TX",36499
"cz26406","Wolf Point, MT",36482
"cz34502","Libby, MT",36442
"cz4101","Crossett, AR",36299
"cz25105","Batesville, AR",36274
"cz5402","Glasgow, KY & TN",36071
"cz36302","Salmon, ID",36031
"cz16902","Spencer, WV",35992
"cz2800","Laurel, MS",35970
"cz34804","Clayton, NM",35966
"cz9302","Toccoa, GA",35927
"cz3203","Vicksburg, LA & MS",35925
"cz11102","Troy, AL",35872
"cz601","North Wilkesboro, NC",35810
"cz25702","Poplar Bluff, MO",35790
"cz15800","Athens, OH & WV",35755
"cz4702","Clarksdale, MS",35699
"cz10600","Jasper, AL",35618
"cz31600","Brownsville, TX",35591
"cz8601","Waycross, GA",35522
"cz25101","Mountain Home, AR & MO",35513
"cz9001","Vidalia, GA",35288
"cz4102","Pine Bluff, AR",35277
"cz5100","Corinth, MS & TN",35157
"cz26603","East Corson UT, ND & SD",35149
"cz12702","Maysville, KY",35138
"cz1001","Boone, NC & TN",35104
"cz34902","Socorro, NM",35019
"cz30907","Matador, TX",34992
"cz602","Galax, NC & VA",34889
"cz30906","Memphis, TX",34791
"cz9003","Dublin, GA",34781
"cz402","Martinsville, VA",34751
"cz8702","Statesboro, GA",34480
"cz10502","Starkville, MS",34465
"cz10101","Bainbridge, GA",34176
"cz25102","West Plains, AR & MO",33965
"cz34002","Idabel, AR & OK",33963
"cz32603","Seymour, TX",33954
"cz36503","Lakeview, OR",33693
"cz1301","Bennettsville, SC",33643
"cz30604","Deming, NM",33565
"cz30605","Van Horn, TX",33558
"cz11203","Big Stone Gap, VA",33373
"cz25800","Blytheville, AR & MO",33107
"cz1702","Henderson, NC",33039
"cz4601","Campbellsville, KY",32949
"cz35500","Gallup, AZ & NM",32831
"cz27704","Gordon, NE & SD",32679
"cz2600","Roanoke Rapids, NC & VA",32547
"cz8502","Cordele, GA",32273
"cz17000","Pikeville, KY & WV",32162
"cz8201","Barnwell, SC",31812
"cz9702","Americus, GA",31763
"cz4401","London, KY",31430
"cz4701","Greenwood, MS",31148
"cz3902","Lake Providence, LA",31126
"cz11002","Atmore, AL",31094
"cz4602","Somerset, KY & TN",31054
"cz30603","Truth or Consequences, NM",30778
"cz3202","Natchez, LA & MS",30756
"cz11202","Welch, WV",30538
"cz3101","McComb, MS",30432
"cz10301","Eufaula, AL & GA",30275
"cz8501","Fitzgerald, GA",30204
"cz31501","Crystal City, TX",30198
"cz34803","Tucumcari, NM",30156
"cz4800","Greenville, MS",29492
"cz27605","Mission, SD",29339
"cz4502","Hazard, KY",28893
"cz301","Middlesborough, KY & TN",28497
"cz3002","Yazoo City, MS",28191
"cz30702","Santa Rosa, NM",27700
"cz3001","Kosciusko, MS",27484
"cz10802","Demopolis, AL",27463
"cz34801","Las Vegas, NM",27156
"cz4501","West Liberty, KY",26313
